run,seed,checkpoint_generation,recorded_generation,best_fitness,error,converged
18,18,500,500,1.393970468639978,1.393970468639978,False
18,18,1000,1000,0.001193390090406865,0.001193390090406865,False
18,18,5000,5000,0.0001052192640287331,0.0001052192640287331,False
18,18,10000,10000,2.353491751705405e-05,2.353491751705405e-05,False
18,18,50000,50000,2.065660140715408e-06,2.065660140715408e-06,False
18,18,100000,100000,3.842512796836672e-08,3.842512796836672e-08,False
19,19,1,1,114.0805286221617,114.0805286221617,False
19,19,50,50,10.19916943003759,10.19916943003759,False
19,19,100,100,8.814494171656406,8.814494171656406,False
19,19,200,200,4.050166002517457,4.050166002517457,False
19,19,500,500,0.06736047271489554,0.06736047271489554,False
19,19,1000,1000,0.0001552093788461661,0.0001552093788461661,False
19,19,5000,5000,2.208604070119691e-05,2.208604070119691e-05,False
19,19,10000,10000,1.586018039745341e-05,1.586018039745341e-05,False
19,19,50000,50000,1.149984996118292e-08,1.149984996118292e-08,False
19,19,100000,100000,1.149984996118292e-08,1.149984996118292e-08,False
20,20,1,1,80.30955048236586,80.30955048236586,False
20,20,50,50,10.16984925155097,10.16984925155097,False
20,20,100,100,2.174878029329335,2.174878029329335,False
20,20,200,200,1.193923976172556,1.193923976172556,False
20,20,500,500,0.0316757122281075,0.0316757122281075,False
20,20,1000,1000,0.0003366985454960059,0.0003366985454960059,False
20,20,5000,5000,3.727554614840756e-05,3.727554614840756e-05,False
20,20,10000,10000,3.173900898900683e-05,3.173900898900683e-05,False
20,20,50000,50000,1.269080769361608e-07,1.269080769361608e-07,False
20,20,100000,100000,9.600283590316394e-08,9.600283590316394e-08,False
21,21,1,1,96.6686284835142,96.6686284835142,False
21,21,50,50,16.57389899897238,16.57389899897238,False
21,21,100,100,15.52745854668686,15.52745854668686,False
21,21,200,200,5.50521334786211,5.50521334786211,False
21,21,500,500,1.066536056262862,1.066536056262862,False
21,21,1000,1000,0.002815668922167447,0.002815668922167447,False
21,21,5000,5000,5.509821664873016e-05,5.509821664873016e-05,False
21,21,10000,10000,3.826351041880116e-05,3.826351041880116e-05,False
21,21,50000,50000,4.125740815652534e-08,4.125740815652534e-08,False
21,21,100000,100000,4.006453480087657e-08,4.006453480087657e-08,False
